celestialID,temperature,spectralClass,luminosity,age,life,orbitRadius,eccentricity,massDust,massGas,fragmented,density,surfaceGravity,escapeVelocity,orbitPeriod,rotationRate,locked,pressure,radius,mass
40000001,4567.0,K2 V,0.01575,4.501e+17,6.949e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,126700000,0
40000019,4234.0,K4 V,0.01282,3.699e+17,9.127e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,133000000,0
40000040,5705.0,G2 V,0.6213,1.715e+17,2.966e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,510000000,0
40000129,5095.0,G8 V,0.3461,3.866e+17,4.63e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,477100000,0
40000190,2355.0,M7 V,0.02403,1.902e+17,2.71e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,588300000,0
40000291,3868.0,K7 V,0.02324,3.206e+17,1.268e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,214500000,0
40000332,3091.0,M2 V,0.01469,1.276e+18,2.048e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,267200000,0
40000381,2999.0,M2 V,0.03981,1.723e+18,1.991e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,467000000,0
40000471,3024.0,M2 V,0.01479,6.263e+17,2.016e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,280000000,0
40000532,4111.0,K5 V,0.07498,6.565e+17,1.039e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,341200000,0
40000604,2915.0,M3 V,0.0138,8.475e+17,2.12e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,291100000,0
40000662,5921.0,G0 V,0.7113,4.103e+16,2.549e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,506600000,0
40000769,5246.0,G7 V,0.9844,5.682e+16,4.35e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,759200000,0
40000860,5630.0,G3 V,0.569,1.722e+17,3.263e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,501000000,0
40000941,4318.0,K4 V,0.08104,3.377e+17,9.302e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,321400000,0
40000999,2818.0,M3 V,0.01396,1.756e+18,2.118e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,313200000,0
40001095,6089.0,F9 V,0.7871,1.899e+17,2.406e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,503800000,0
40001182,5691.0,G2 V,1.501,1.467e+17,3.031e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,796600000,0
40001265,4188.0,K4 V,0.07842,5.192e+17,9.041e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,336100000,0
40001344,5398.0,G5 V,1.172,1.721e+17,3.766e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,782100000,0
40001414,6450.0,F6 V,2.566,1.464e+17,1.727e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,810600000,0
40001498,3685.0,K8 V,0.1426,1.199e+18,1.42e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,585700000,0
40001581,6462.0,F6 V,1.08,1.261e+17,1.813e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,524100000,0
40001644,3540.0,K9 V,0.01944,6.985e+17,1.683e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,234300000,0
40001712,3502.0,K9 V,0.1276,1.273e+18,1.579e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,613500000,0
40001784,4294.0,K4 V,0.2079,3.727e+17,9.024e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,520800000,0
40001833,3966.0,K6 V,0.4201,4.642e+17,1.142e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,867800000,0
40001891,3836.0,K7 V,0.1457,5.341e+17,1.329e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,546200000,0
40001984,5017.0,G9 V,0.1283,4.463e+17,5.011e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,299600000,0
40002037,5301.0,G6 V,0.1629,1.803e+17,4.014e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,302400000,0
40002087,3604.0,K9 V,0.01956,8.747e+17,1.636e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,226700000,0
40002132,5527.0,G4 VI,0.07863,1.882e+17,3.549e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,193300000,0
40002157,5577.0,G4 V,0.4925,2.743e+17,3.452e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,475100000,0
40002242,3793.0,K7 V,0.06291,7.431e+17,1.324e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,367100000,0
40002287,5300.0,G6 V,0.1721,1.779e+17,3.971e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,310900000,0
40002340,6258.0,F8 V,2.257,1.558e+17,2.131e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,807600000,0
40002417,5291.0,G6 V,1.063,1.538e+17,4.104e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,775500000,0
40002477,4267.0,K4 V,0.03159,2.918e+17,8.834e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,205500000,0
40002514,7107.0,F2 V,1.563,1.348e+16,1.156e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,521100000,0
40002611,3522.0,K9 V,0.02003,2.496e+17,1.576e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,240200000,0
40002665,2887.0,M3 V,0.03449,1.999e+17,2.115e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,469100000,0
40002724,7300.0,F1 V,4.216,3.374e+16,1.063e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,811200000,0
40002758,4492.0,K3 V,0.08784,5.407e+16,8.134e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,309300000,0
40002837,7453.0,F0 VI,0.1176,2.903e+16,1.01e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,130000000,0
40002857,5331.0,G6 V,0.4019,3.831e+17,4.096e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,469700000,0
40002919,4169.0,K5 V,0.07162,2.114e+17,9.829e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,324200000,0
40002979,6513.0,F6 V,2.674,5.925e+16,1.712e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,811500000,0
40003059,5535.0,G4 V,1.209,1.217e+17,3.46e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,755700000,0
40003157,4274.0,K4 V,0.03307,1.211e+17,9.167e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,209600000,0
40003186,5810.0,G1 VI,0.01737,1.198e+17,2.791e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,82200000,0
40003196,5121.0,G8 V,0.3352,4.217e+17,4.753e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,464800000,0
40003270,5977.0,G0 V,0.2775,5.847e+16,2.572e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,310500000,0
40003335,5983.0,G0 VI,0.01782,1.379e+17,2.537e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,78500000,0
40003347,5392.0,G5 V,0.1749,1.993e+17,3.822e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,302800000,0
40003391,4735.0,K1 V,0.04283,3.887e+17,6.323e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,194300000,0
40003419,3675.0,K8 V,0.05294,8.58e+17,1.444e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,358600000,0
40003473,3509.0,K9 V,0.1239,9.106e+17,1.628e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,601900000,0
40003542,2707.0,M4 V,0.01216,9.486e+17,2.249e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,316700000,0
40003620,3275.0,M1 V,0.01616,1.207e+18,1.896e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,249600000,0
40003659,4071.0,K5 V,0.07187,8.167e+17,1.008e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,340500000,0
40003707,2430.0,M6 V,0.01005,4.438e+17,2.534e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,357600000,0
40003807,3473.0,M0 V,0.01804,2.227e+17,1.814e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,234500000,0
40003866,5560.0,G4 V,0.5037,2.629e+17,3.534e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,483300000,0
40003950,3753.0,K8 V,0.144,9.938e+17,1.442e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,567000000,0
40004035,5166.0,G8 V,0.3348,2.07e+17,4.65e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,456400000,0
40004122,4568.0,K2 IV,0.6256,7.0e+16,7.084e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,797900000,0
40004220,5655.0,G3 V,0.5506,2.243e+17,3.257e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,488500000,0
40004285,4181.0,K5 V,0.02819,6.831e+17,1.036e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,202200000,0
40004325,4359.0,K3 V,0.09048,5.371e+17,7.837e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,333300000,0
40004375,3823.0,K7 V,0.02424,1.229e+18,1.314e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,224300000,0
40004450,5953.0,G0 VI,0.1145,1.027e+17,2.594e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,201000000,0
40004480,5778.0,G2 VI,0.01538,1.171e+17,3.021e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,78190000,0
40004497,3836.0,K7 V,0.15,4.384e+17,1.27e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,554100000,0
40004568,2479.0,M6 V,0.0101,1.581e+18,2.579e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,344300000,0
40004637,5013.0,G9 V,0.3229,2.998e+17,5.054e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,476100000,0
40004754,4251.0,K4 V,0.1989,6.531e+17,8.669e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,519500000,0
40004872,5988.0,G0 V,0.2979,6.118e+16,2.608e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,320500000,0
40004941,5521.0,G4 V,0.4978,1.968e+17,3.481e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,487300000,0
40004997,2491.0,M6 V,0.01022,7.079e+17,2.562e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,342900000,0
40005094,4454.0,K3 V,0.214,7.331e+17,8.176e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,491100000,0
40005192,3823.0,K7 V,0.3825,6.782e+17,1.327e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,891100000,0
40005303,5038.0,G9 V,0.3238,3.903e+17,5.191e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,472000000,0
40005398,4809.0,K1 V,0.01668,1.374e+17,6.075e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,117600000,0
40005413,4750.0,K1 V,0.04094,1.63e+17,6.154e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,188800000,0
40005449,4899.0,K0 V,0.2758,4.953e+17,5.473e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,460700000,0
40005539,4648.0,K2 V,0.2355,1.55e+17,6.954e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,472900000,0
40005651,5698.0,G2 V,0.5756,2.392e+17,2.999e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,492000000,0
40005757,2654.0,M4 V,0.03116,9.344e+17,2.275e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,527400000,0
40005803,5469.0,G5 V,0.4497,3.011e+16,3.85e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,472000000,0
40005902,3593.0,K9 V,0.04924,8.367e+17,1.628e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,362000000,0
40005974,4139.0,K5 IV,1.11,9.164e+17,1.005e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1295000000,0
40006018,7256.0,F1 V,1.706,7.584e+16,1.083e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,522200000,0
40006096,4843.0,K0 V,0.04505,5.109e+17,5.556e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,190500000,0
40006126,4411.0,K3 V,0.2222,1.139e+17,8.121e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,510200000,0
40006221,2744.0,M4 V,0.01259,5.319e+17,2.256e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,313700000,0
40006292,6615.0,F5 VI,0.4387,1.306e+17,1.617e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,318700000,0
40006354,3870.0,K7 V,0.02324,9.461e+17,1.271e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,214300000,0
40006395,4601.0,K2 V,0.0944,5.306e+17,6.847e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,305600000,0
40006455,2283.0,M7 V,0.02355,2.304e+18,2.67e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,620000000,0
40006541,5231.0,G7 V,0.3639,1.818e+17,4.317e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,464100000,0
40006634,3767.0,K7 V,0.3807,1.0e+18,1.262e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,915600000,0
40006697,3760.0,K7 V,0.02439,8.977e+17,1.278e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,232600000,0
40006751,5422.0,G5 V,1.16,2.019e+17,3.714e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,771400000,0
40006856,7017.0,F2 V,1.452,6.445e+16,1.221e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,515100000,0
40006965,5343.0,G6 VI,0.06385,2.168e+17,4.156e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,186400000,0
40007008,4667.0,K1 V,0.1028,1.04e+17,6.353e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,310000000,0
40007093,6671.0,F5 VI,0.1769,2.901e+16,1.606e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,199000000,0
40007130,4132.0,K5 V,0.07206,6.624e+17,1.0e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,331100000,0
40007185,4032.0,K6 V,0.06483,8.37e+17,1.132e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,329800000,0
40007249,4823.0,K1 V,0.1059,4.165e+17,6.298e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,294500000,0
40007319,2941.0,M3 V,0.01379,9.224e+17,2.136e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,285800000,0
40007386,4377.0,K3 V,0.01439,3.426e+17,8.089e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,131800000,0
40007405,6557.0,F6 VI,0.4294,2.947e+16,1.741e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,320900000,0
40007459,4706.0,K1 V,0.04285,7.648e+16,6.19e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,196700000,0
40007505,3993.0,K6 V,0.4006,7.39e+17,1.107e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,835700000,0
40007574,5772.0,G2 VI,0.03664,1.125e+17,2.98e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,121000000,0
40007595,5527.0,G4 V,0.5189,5.675e+16,3.493e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,496400000,0
40007716,5289.0,G6 V,0.4105,1.137e+17,3.996e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,482300000,0
40007766,3418.0,M0 V,0.01862,8.661e+17,1.786e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,245900000,0
40007812,6515.0,F6 V,6.339,4.19e+16,1.795e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1249000000,0
40007872,3609.0,K9 V,0.1246,1.05e+18,1.674e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,570600000,0
40007916,3740.0,K8 V,0.02118,1.174e+18,1.449e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,219000000,0
40007960,7098.0,F2 IV,9.408,1.804e+16,1.174e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,1282000000,0
40008051,4901.0,K0 V,0.01819,1.292e+17,5.442e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,118200000,0
40008070,6172.0,F8 V,0.8406,9.7e+16,2.118e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,506800000,0
40008128,3935.0,K6 V,0.0667,3.911e+17,1.135e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,351200000,0
40008199,5882.0,G1 VI,0.1006,1.872e+17,2.853e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,193000000,0
40008226,5607.0,G3 VI,0.01346,7.03e+16,3.298e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,77670000,0
40008233,4253.0,K4 V,0.07759,5.76e+17,9.215e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,324200000,0
40008309,5770.0,G2 V,0.2447,1.26e+17,3.0e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,312800000,0
40008347,3266.0,M1 V,0.01609,1.438e+17,1.895e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,250400000,0
40008391,4292.0,K4 V,0.07835,3.958e+17,8.694e+17,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,320000000,0
40008461,3955.0,K6 V,0.06462,6.321e+17,1.156e+18,0.0,0.0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0,0,342100000,0
